game,checkpoint,agent,reward,vs_random,agent_random
entombed_competitive_v2,13000000,first_0,0.9811320754716981,False,False
entombed_competitive_v2,13000000,first_0,0.6792452830188679,False,False
entombed_competitive_v2,13400000,first_0,0.07894736842105263,False,False
entombed_competitive_v2,13400000,first_0,-0.3783783783783784,False,False
entombed_competitive_v2,13800000,first_0,0.5454545454545454,False,False
ice_hockey_v1,1000000,first_0,-0.21052631578947367,False,False
entombed_competitive_v2,13800000,first_0,1.3478260869565217,False,False
entombed_competitive_v2,14200000,first_0,0.5,False,False
entombed_competitive_v2,14200000,first_0,0.851063829787234,False,False
entombed_competitive_v2,14600000,first_0,0.3142857142857143,False,False
entombed_competitive_v2,14600000,first_0,0.7222222222222222,False,False
entombed_competitive_v2,15000000,first_0,-0.3584905660377358,False,False
entombed_competitive_v2,15000000,first_0,0.2222222222222222,False,False
entombed_competitive_v2,15400000,first_0,0.5853658536585366,False,False
entombed_competitive_v2,15400000,first_0,0.21052631578947367,False,False
entombed_competitive_v2,15800000,first_0,-0.17647058823529413,False,False
ice_hockey_v1,1400000,first_0,-0.05263157894736842,False,False
entombed_competitive_v2,15800000,first_0,0.11764705882352941,False,False
entombed_competitive_v2,16200000,first_0,0.16666666666666666,False,False
entombed_competitive_v2,16200000,first_0,0.046511627906976744,False,False
entombed_competitive_v2,16600000,first_0,0.5641025641025641,False,False
entombed_competitive_v2,16600000,first_0,-0.02564102564102564,False,False
entombed_competitive_v2,17000000,first_0,-0.48717948717948717,False,False
entombed_competitive_v2,17000000,first_0,-0.8,False,False
entombed_competitive_v2,17400000,first_0,0.07894736842105263,False,False
entombed_competitive_v2,17400000,first_0,-0.2857142857142857,False,False
entombed_competitive_v2,17800000,first_0,-0.27906976744186046,False,False
ice_hockey_v1,1400000,first_0,-0.2631578947368421,False,False
entombed_competitive_v2,17800000,first_0,-0.43478260869565216,False,False
entombed_competitive_v2,18200000,first_0,-0.48148148148148145,False,False
entombed_competitive_v2,18200000,first_0,-0.39622641509433965,False,False
entombed_competitive_v2,18600000,first_0,-2.0,False,False
entombed_competitive_v2,18600000,first_0,-1.5740740740740742,False,False
entombed_competitive_v2,19000000,first_0,-0.5227272727272727,False,False
entombed_competitive_v2,19000000,first_0,-0.525,False,False
entombed_competitive_v2,19400000,first_0,-0.75,False,False
entombed_competitive_v2,19400000,first_0,-1.4473684210526316,False,False
entombed_competitive_v2,19800000,first_0,-0.1388888888888889,False,False
ice_hockey_v1,1800000,first_0,1.0555555555555556,False,False
boxing_v1,1800000,first_0,-8.724137931034482,False,False
entombed_competitive_v2,19800000,first_0,0.7428571428571429,False,False
entombed_cooperative_v2,200000,first_0,0.0,False,False
