game,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
foozpong_v1,15400000,first_0,-15.5,15.5,-15.5,15.5,False,False
foozpong_v1,15400000,first_0,4.7,-4.7,4.7,-4.7,True,False
foozpong_v1,15400000,second_0,-0.5,0.5,-0.5,0.5,True,False
foozpong_v1,15400000,third_0,1.1,-1.1,1.1,-1.1,True,False
boxing_v1,13800000,first_0,0.13793103448275862,-0.13793103448275862,nan,nan,True,False
foozpong_v1,15400000,fourth_0,-0.6,0.6,-0.6,0.6,True,False
foozpong_v1,15800000,first_0,-21.0,21.0,-21.0,21.0,False,False
foozpong_v1,15800000,first_0,3.9,-3.9,3.9,-3.9,True,False
foozpong_v1,15800000,second_0,-2.4,2.4,-2.4,2.4,True,False
foozpong_v1,15800000,third_0,-0.2,0.2,-0.2,0.2,True,False
foozpong_v1,15800000,fourth_0,-4.545454545454546,4.545454545454546,-4.545454545454546,4.545454545454546,True,False
foozpong_v1,16200000,first_0,-17.0,17.0,-17.0,17.0,False,False
foozpong_v1,16200000,first_0,5.2727272727272725,-5.2727272727272725,5.2727272727272725,-5.2727272727272725,True,False
foozpong_v1,16200000,second_0,-1.8888888888888888,1.8888888888888888,-1.8888888888888888,1.8888888888888888,True,False
foozpong_v1,16200000,third_0,1.7,-1.7,1.7,-1.7,True,False
boxing_v1,13800000,second_0,-32.41379310344828,32.41379310344828,nan,nan,True,False
foozpong_v1,16200000,fourth_0,-6.25,6.25,-6.25,6.25,True,False
foozpong_v1,16600000,first_0,-10.0,10.0,-10.0,10.0,False,False
foozpong_v1,16600000,first_0,3.4545454545454546,-3.4545454545454546,3.4545454545454546,-3.4545454545454546,True,False
foozpong_v1,16600000,second_0,-4.1,4.1,-4.1,4.1,True,False
foozpong_v1,16600000,third_0,-3.1818181818181817,3.1818181818181817,-3.1818181818181817,3.1818181818181817,True,False
foozpong_v1,16600000,fourth_0,-1.0909090909090908,1.0909090909090908,-1.0909090909090908,1.0909090909090908,True,False
foozpong_v1,17000000,first_0,-8.0,8.0,-8.0,8.0,False,False
foozpong_v1,17000000,first_0,7.6,-7.6,7.6,-7.6,True,False
foozpong_v1,17000000,second_0,-4.9,4.9,-4.9,4.9,True,False
foozpong_v1,17000000,third_0,-2.090909090909091,2.090909090909091,-2.090909090909091,2.090909090909091,True,False
boxing_v1,14200000,first_0,4.827586206896552,-4.827586206896552,nan,nan,False,False
foozpong_v1,17000000,fourth_0,3.1818181818181817,-3.1818181818181817,3.1818181818181817,-3.1818181818181817,True,False
foozpong_v1,17400000,first_0,-2.6666666666666665,2.6666666666666665,-2.6666666666666665,2.6666666666666665,False,False
foozpong_v1,17400000,first_0,7.222222222222222,-7.222222222222222,7.222222222222222,-7.222222222222222,True,False
foozpong_v1,17400000,second_0,-4.3,4.3,-4.3,4.3,True,False
foozpong_v1,17400000,third_0,1.3636363636363635,-1.3636363636363635,1.3636363636363635,-1.3636363636363635,True,False
foozpong_v1,17400000,fourth_0,-4.2727272727272725,4.2727272727272725,-4.2727272727272725,4.2727272727272725,True,False
foozpong_v1,17800000,first_0,-5.666666666666667,5.666666666666667,-5.666666666666667,5.666666666666667,False,False
foozpong_v1,17800000,first_0,6.636363636363637,-6.636363636363637,6.636363636363637,-6.636363636363637,True,False
foozpong_v1,17800000,second_0,-2.7,2.7,-2.7,2.7,True,False
foozpong_v1,17800000,third_0,2.0,-2.0,2.0,-2.0,True,False
boxing_v1,14200000,first_0,-1.3448275862068966,1.3448275862068966,nan,nan,True,False
foozpong_v1,17800000,fourth_0,-4.090909090909091,4.090909090909091,-4.090909090909091,4.090909090909091,True,False
foozpong_v1,18200000,first_0,4.666666666666667,-4.666666666666667,4.666666666666667,-4.666666666666667,False,False
foozpong_v1,18200000,first_0,8.0,-8.0,8.0,-8.0,True,False
foozpong_v1,18200000,second_0,0.8,-0.8,0.8,-0.8,True,False
foozpong_v1,18200000,third_0,-0.2727272727272727,0.2727272727272727,-0.2727272727272727,0.2727272727272727,True,False
foozpong_v1,18200000,fourth_0,-2.5454545454545454,2.5454545454545454,-2.5454545454545454,2.5454545454545454,True,False
foozpong_v1,18600000,first_0,6.5,-6.5,6.5,-6.5,False,False
foozpong_v1,18600000,first_0,4.7272727272727275,-4.7272727272727275,4.7272727272727275,-4.7272727272727275,True,False
foozpong_v1,18600000,second_0,-2.7,2.7,-2.7,2.7,True,False
foozpong_v1,18600000,third_0,-2.090909090909091,2.090909090909091,-2.090909090909091,2.090909090909091,True,False
boxing_v1,14200000,second_0,-0.06896551724137931,0.06896551724137931,nan,nan,True,False
foozpong_v1,18600000,fourth_0,0.7272727272727273,-0.7272727272727273,0.7272727272727273,-0.7272727272727273,True,False
foozpong_v1,19000000,first_0,-10.5,10.5,-10.5,10.5,False,False
foozpong_v1,19000000,first_0,10.916666666666666,-10.916666666666666,10.916666666666666,-10.916666666666666,True,False
foozpong_v1,19000000,second_0,-4.4,4.4,-4.4,4.4,True,False
foozpong_v1,19000000,third_0,-0.6363636363636364,0.6363636363636364,-0.6363636363636364,0.6363636363636364,True,False
foozpong_v1,19000000,fourth_0,2.727272727272727,-2.727272727272727,2.727272727272727,-2.727272727272727,True,False
foozpong_v1,19400000,first_0,-13.5,13.5,-13.5,13.5,False,False
foozpong_v1,19400000,first_0,5.181818181818182,-5.181818181818182,5.181818181818182,-5.181818181818182,True,False
foozpong_v1,19400000,second_0,-8.0,8.0,-8.0,8.0,True,False
foozpong_v1,19400000,third_0,0.08333333333333333,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,True,False
boxing_v1,14600000,first_0,4.9655172413793105,-4.9655172413793105,nan,nan,False,False
boxing_v1,1400000,first_0,2.310344827586207,-2.310344827586207,nan,nan,False,False
foozpong_v1,19400000,fourth_0,-0.2,0.2,-0.2,0.2,True,False
